Name,Week_Number,File_Variable
Scott Alexander-Bown,37,1
Scott Alexander-Bown,37,2
Scott Alexander-Bown,37,3
Scott Alexander-Bown,37,4
Scott Alexander-Bown,37,5
Scott Alexander-Bown,37,6
Scott Alexander-Bown,37,7
Scott Alexander-Bown,37,8
Scott Alexander-Bown,37,9
Scott Alexander-Bown,37,10
Artsem Kurantsou,32,2
Artsem Kurantsou,31,2
Artsem Kurantsou,31,4
Artsem Kurantsou,31,7
grubeli,46,1
Scott Alexander-Bown,21,1
Scott Alexander-Bown,21,1
Matthew Rollings,21,11
Scott Alexander-Bown,20,12
Scott Alexander-Bown,20,1
Scott Alexander-Bown,18,1
Scott Alexander-Bown,18,13
Scott Alexander-Bown,18,14
Scott Alexander-Bown,18,2
Scott Alexander-Bown,18,3
Scott Alexander-Bown,18,4
Scott Alexander-Bown,18,15
Scott Alexander-Bown,18,5
Scott Alexander-Bown,18,6
Scott Alexander-Bown,18,7
Scott Alexander-Bown,18,8
Scott Alexander-Bown,18,9
Scott Alexander-Bown,18,16
Scott Alexander-Bown,18,11
Scott Alexander-Bown,18,10
Scott Alexander-Bown,18,17
Slim Namouchi,30,18
Matthew Rollings,30,18
Fi5t,29,16
Matthew Rollings,6,18
Matthew Rollings,6,19
mat,6,18
mat,6,19
Matthew Rollings,6,20
Matthew Rollings,6,13
Matthew Rollings,6,14
Matthew Rollings,6,15
Matthew Rollings,6,21
Matthew Rollings,6,17
Matthew Rollings,6,17
Daniel Kutik,5,16
Daniel Kutik,5,18
Daniel Kutik,5,17
Matthew Rollings,5,16
mat,5,17
mat,5,16
Matthew Rollings,5,18
Matthew Rollings,5,17
Matthew Rollings,5,16
Matthew Rollings,5,18
mat,5,16
mat,5,18
mat,5,18
mat,5,17
mat,5,18
Ivan Vlasov,50,16
Ivan Vlasov,50,18
Daniel Kutik,46,20
Daniel Kutik,46,21
Daniel Kutik,46,13
Daniel Kutik,46,15
Daniel Kutik,46,20
Daniel Kutik,46,14
Daniel Kutik,46,15
Daniel Kutik,46,21
Daniel Kutik,46,17
Matthew Rollings,11,13
Matthew Rollings,11,16
Matthew Rollings,11,18
Matthew Rollings,11,11
Matthew Rollings,11,10
Matthew Rollings,11,17
Matthew Rollings,24,18
Matthew Rollings,24,17
Matthew Rollings,19,17
Matthew Rollings,19,18
Matthew Rollings,19,18
Matthew Rollings,19,19
Matthew Rollings,19,17
Matthew Rollings,19,18
Matthew Rollings,19,18
Matthew Rollings,12,13
Matthew Rollings,12,16
Matthew Rollings,12,18
altvnv,11,18
altvnv,11,13
altvnv,11,16
altvnv,11,18
altvnv,11,18
altvnv,11,16
altvnv,11,16
matthew,44,19
matthew,44,17
Matthew Rollings,39,18
Frieder Bluemle,33,18
Frieder Bluemle,33,19
Ali Waseem,32,18
LeonKarabchevsky,23,18
BIOCATCH\Leon.Karabchevsky,23,18
Matthew Rollings,19,20
Matthew Rollings,19,15
Matthew Rollings,19,21
Matthew Rollings,19,19
Matthew Rollings,19,22
Matthew Rollings,19,18
Frieder Bluemle,19,20
Frieder Bluemle,19,21
Frieder Bluemle,19,19
Frieder Bluemle,19,22
Frieder Bluemle,19,15
vyas,19,18
Matthew Rollings,13,13
Matthew Rollings,13,18
Matthew Rollings,13,11
Matthew Rollings,12,18
Matthew Rollings,12,22
Scott Alexander-Bown,12,14
Scott Alexander-Bown,12,16
Scott Alexander-Bown,12,18
Matthew Rollings,12,14
Matthew Rollings,12,18
Matthew Rollings,12,16
matthew,11,22
matthew,11,22
Matthew Rollings,11,18
Matthew Rollings,7,13
Matthew Rollings,7,18
Matthew Rollings,7,19
aippisch,37,23
leocadiotine,37,18
Scott Alexander-Bown,26,14
Scott Alexander-Bown,26,13
Scott Alexander-Bown,26,13
Andy Barber,26,13
Andy Barber,26,14
Andy Barber,26,15
Scott Alexander-Bown,20,18
Matthew Rollings,16,18
Scott Alexander-Bown,13,14
Mohammed Ezzat,11,14
Scott Alexander-Bown,11,16
Scott Alexander-Bown,11,18
Scott Alexander-Bown,11,19
Scott Alexander-Bown,11,10
Mohammed Ezzat,11,16
Mohammed Ezzat,11,18
Mohammed Ezzat,11,19
Mohammed Ezzat,11,10
Scott Alexander-Bown,53,18
Matthew Rollings,52,18
Matthew Rollings,52,18
Scott Alexander-Bown,52,18
Matthew Rollings,52,18
Matthew Rollings,52,18
Scott Alexander-Bown,38,14
Scott Alexander-Bown,38,16
Matthew Rollings,27,16
Scott Alexander-Bown,27,16
Scott Alexander-Bown,27,23
Scott Alexander-Bown,27,18
Scott Alexander-Bown,27,11
Scott Alexander-Bown,27,14
Scott Alexander-Bown,27,18
Matthew Rollings,27,23
Matthew Rollings,27,18
Matthew Rollings,27,11
Scott Alexander-Bown,27,23
Scott Alexander-Bown,27,16
Scott Alexander-Bown,27,18
Scott Alexander-Bown,27,11
Scott Alexander-Bown,27,14
Scott Alexander-Bown,27,18
Scott Alexander-Bown,27,10
Matthew Rollings,27,23
Matthew Rollings,27,18
Matthew Rollings,27,11
Matthew Rollings,27,16
Matthew Rollings,27,23
Scott Alexander-Bown,27,23
Scott Alexander-Bown,27,16
Scott Alexander-Bown,27,18
Scott Alexander-Bown,27,14
Scott Alexander-Bown,26,19
Matthew Rollings,26,23
Matthew Rollings,26,11
Scott Alexander-Bown,26,20
Scott Alexander-Bown,26,14
Scott Alexander-Bown,26,23
Scott Alexander-Bown,26,21
Scott Alexander-Bown,26,16
Scott Alexander-Bown,26,18
Scott Alexander-Bown,26,11
Scott Alexander-Bown,26,19
Matthew Rollings,26,24
Matthew Rollings,26,25
Matthew Rollings,26,26
Matthew Rollings,26,24
Scott Alexander-Bown,25,27
Scott Alexander-Bown,25,26
Scott Alexander-Bown,25,24
Scott Alexander-Bown,25,28
Scott Alexander-Bown,25,24
Matthew Rollings,25,27
Matthew Rollings,25,28
Matthew Rollings,25,29
Matthew Rollings,25,26
Matthew Rollings,25,24
Matthew Rollings,25,28
Scott Alexander-Bown,25,30
Scott Alexander-Bown,25,26
Scott Alexander-Bown,25,24
Scott Alexander-Bown,25,31
